"الجدول رقم :1 عدد الأنشطة الثقافية بالأحياء الجامعية
-  جامعة: القاضي عياض",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,2024-2025,,2023-2024,,2022-2023,,المؤسسة,,,
,,,,,,,,,,,الجامعية,,,
,,,,,عددها,نوع الأنشطة,عددها,نوع الأنشطة,عددها,نوع الأنشطة,,,,
,,,,,,الأنشطة الثقافية والفنية,,الأنشطة الثقافية والفنية,,الأنشطة الثقافية والفنية,,,,
,,,,,,الأنشطة المتعلقة بالسلامة,,الأنشطة المتعلقة بالسلامة,,الأنشطة المتعلقة بالسلامة,,,,
,,,,,,أنشطة التثقيف الصحي,,أنشطة التثقيف الصحي,,أنشطة التثقيف الصحي,,,,
,,,,,,أنشطة التطوع,,أنشطة التطوع,,أنشطة التطوع,,,,
,,,,,,أنشطة الدعم الجامعي,,أنشطة الدعم الجامعي,,أنشطة الدعم الجامعي,,,,
,,,,,,أخرى مع تحديدها,,أخرى مع تحديدها,,أخرى مع تحديدها,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
الجدول رقم :3 عدد الشركات الموقعة مع جمعيات المجتمع المدني,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,2024-2025,,2023-2024,,2022-2023,,المؤسسة الجامعية,,,
,,,,,صنفها,عدد الشركات,صنفها,عدد الشركات,صنفها,عدد الشركات,كلية العلوم السملالية,,,
,,,,,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,,,,
,,,,,,,,,,,,,,
الجدول رقم :4 عدد الشركات الموقعة مع المؤسسات المعنية بالشأن الثقافي,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,2024-2025,,2023-2024,,2022-2023,,المؤسسة الجامعية, ,,
,,,,,صنفها,عدد الشركات,صنفها,عدد الشركات,صنفها,عدد الشركات,كلية العلوم السملالية,,,
,,,,,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,,,,
,,,,,,,,,,,,,,
الجدول رقم :5 المسابقات الوطنية في مجالات الفنون والآداب,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,2024-2025,,,2023-2024,,,2022-2023,,,المؤسسة
,,,,,,,,,,,,,,الجامعية
,,,,,عدد المستفيدين,صنفها,عدد المسابقات,عدد المستفيدين,صنفها,عدد المسابقات,عدد المستفيدين,صنفها,عدد المسابقات,كلية العلوم السملالية
,,,,,39,الشعر - الرسم - الغناء الفردي - الغناء الجماعي - المسرح - العزف  الآلي,6,24,الشعر - الرسم - الغناء الفردي - المسرح - العزف  الآلي,5,26,الشعر - الرسم - الغناء الفردي -  المسرح - العزف  الآلي,1,
,,,,,,,,,,,,,,
